ac_number,constituency,winner,party,votes,runner_up_votes,margin,reserved,region,year
187,Manamadurai,Tamilarasi A.,DMK,89364,75273,14091,SC,South,2021
188,Melur,PERIYAPULLAN @ SELVAM  P.,AIADMK,83344,48182,35162,GEN,South,2021
189,Madurai East,MOORTHY P,DMK,122729,73125,49604,GEN,South,2021
190,Sholavandan,VENKATESAN A,DMK,84240,67195,17045,SC,South,2021
191,Madurai North,THALAPATHI G,DMK,73010,50094,22916,GEN,South,2021
192,Madurai South,BOOMINATHAN.M,DMK,62812,56297,6515,GEN,South,2021
193,Madurai Central,PALANIVEL THIAGA RAJAN,DMK,73205,39029,34176,GEN,South,2021
194,Madurai West,RAJU. K,AIADMK,83883,74762,9121,GEN,South,2021
195,Thiruparankundram,"RAJANCHELLAPPA, V.V.",AIADMK,103683,74194,29489,GEN,South,2021
196,Thirumangalam,UDHAYAKUMAR R B,AIADMK,100338,86251,14087,GEN,South,2021
197,Usilampatti,AYYAPPAN P,AIADMK,71255,63778,7477,GEN,South,2021
198,Andipatti,A.MAHARAJAN,DMK,93541,85003,8538,GEN,South,2021
199,Periyakulam,K.S.SARAVANAKUMAAR,DMK,92251,70930,21321,SC,South,2021
200,Bodinayakanur,O.PANNEERSELVAM,AIADMK,100050,89029,11021,GEN,South,2021
201,Cumbum,N.Ramakrishnan,DMK,104800,62387,42413,GEN,South,2021
202,Rajapalayam,THANGAPANDIAN S.,DMK,74158,70260,3898,GEN,South,2021
203,Srivilliputhur,"MANRAJ, E.M.",AIADMK,70475,57737,12738,SC,South,2021
204,Sattur,"RAGHURAMAN,  A.R.R.",DMK,74174,62995,11179,GEN,South,2021
205,Sivakasi,Ashokan.G,INC,78947,61628,17319,GEN,South,2021
206,Virudhunagar,SEENIVASAN A.R.R,DMK,73297,51958,21339,GEN,South,2021
207,Aruppukottai,K.K.S.S.R.RAMACHANDRAN,DMK,91040,52006,39034,GEN,South,2021
208,Tiruchuli,THANGAM THENARASU,DMK,102225,41233,60992,GEN,South,2021
209,Paramakudi,MURUGESAN S,DMK,84864,71579,13285,SC,South,2021
210,Tiruvadanai,KARUMANICKAM,INC,79364,65512,13852,GEN,South,2021
211,Ramanathapuram,KATHARBATCHA MUTHURAMALINGAM,DMK,111082,60603,50479,GEN,South,2021
212,Mudukulathur,R.S.RAJAKANNAPPAN,DMK,101901,81180,20721,GEN,South,2021
213,Vilathikulam,MARKANDAYAN V,DMK,90348,51799,38549,GEN,South,2021
214,Thoothukkudi,P.Geetha Jeevan,DMK,92314,42004,50310,GEN,South,2021
215,Tiruchendur,Anitha R. Radhakrishnan,DMK,88274,63011,25263,GEN,South,2021
216,Srivaikuntam,Amirtharaj .S,INC,76843,59471,17372,GEN,South,2021
217,Ottapidaram,SHUNMUGAIAH C,DMK,73110,64600,8510,SC,South,2021
218,Kovilpatti,KADAMBUR RAJU,AIADMK,68556,56153,12403,GEN,South,2021
219,Sankarankovil,RAJA E,DMK,71347,66050,5297,SC,South,2021
220,Vasudevanallur,"SADHAN THIRUMALAIKUMAR, DOCTOR.T",DMK,68730,66363,2367,SC,South,2021
221,Kadayanallur,C.KRISHNAMURALI,AIADMK,88474,64125,24349,GEN,South,2021
222,Tenkasi,PALANI NADAR.S,INC,89315,88945,370,GEN,South,2021
223,Alangulam,PAUL MANOJ PANDIAN,AIADMK,74153,70614,3539,GEN,South,2021
224,Tirunelveli,Nainar Nagenthran,BJP,92282,69175,23107,GEN,South,2021
225,Ambasamudram,E.SUBAYA,AIADMK,85211,68296,16915,GEN,South,2021
226,Palayamcottai,ABDUL WAHAB .M,DMK,89117,36976,52141,GEN,South,2021
227,Nanguneri,RUBY R MANOHARAN,INC,75902,59416,16486,GEN,South,2021
228,Radhapuram,M.Appavu,DMK,82331,76406,5925,GEN,South,2021
229,Kanniyakumari,THALAVAI SUNDARAM N.,AIADMK,109745,93532,16213,GEN,South,2021
230,Nagercoil,Gandhi M.R.,BJP,88804,77135,11669,GEN,South,2021
231,Colachel,Prince J.G.,INC,90681,65849,24832,GEN,South,2021
232,Padmanabhapuram,"Mano Thangaraj, T.",DMK,87744,60859,26885,GEN,South,2021
233,Vilavancode,VIJAYADHARANI S,INC,87473,58804,28669,GEN,South,2021
234,Killiyoor,RAJESH KUMAR  S,INC,101541,46141,55400,GEN,South,2021
