ac_number,constituency,winner_2021,party_2021,votes_2021,runner_up_votes_2021,margin_2021,reserved_2021,region_2021,year_2021,winner_2026,party_2026,votes_2026,runner_up_votes_2026,margin_2026,reserved_2026,region_2026,year_2026,flipped,from_to
42,Arcot,J.L.Eswarappan,DMK,103885,83927,19958,GEN,North,2021,S.M.SUKUMAR,AIADMK,105608,62888,42720,GEN,North,2026,True,DMK → AIADMK
43,Vellore,Karthikeyan .P,DMK,84299,75118,9181,GEN,North,2021,M.M.VINOTH KANNAN,TVK,73032,66255,6777,GEN,North,2026,True,DMK → TVK
44,Anaikattu,A.P.Nandakumar,DMK,95159,88799,6360,GEN,North,2021,D.VELAZHAGAN,AIADMK,76302,69221,7081,GEN,North,2026,True,DMK → AIADMK
45,Kilvaithinankuppam,M.JAGAN MOORTHY,AIADMK,84579,73997,10582,SC,North,2021,THENRAL KUMAR. E,TVK,74305,54050,20255,SC,North,2026,True,AIADMK → TVK
48,Ambur,VILWANATHAN.A.C,DMK,90476,70244,20232,GEN,North,2021,VILWANATHAN. A.C.,DMK,74102,66971,7131,GEN,North,2026,False,DMK → DMK
49,Jolarpet,DEVARAJI.K.,DMK,89490,88399,1091,GEN,North,2021,VEERAMANI K.C.,AIADMK,78633,62550,16083,GEN,North,2026,True,DMK → AIADMK
50,Tiruppattur,A. NALLATHAMBI,DMK,96522,68282,28240,GEN,North,2021,DR.THIRUPATHI. N,TVK,105098,56835,48263,GEN,North,2026,True,DMK → TVK
51,Uthangarai,T.M.TAMILSELVAM,AIADMK,99675,71288,28387,SC,North,2021,N ELAIYARAJA,TVK,70201,65003,5198,SC,North,2026,True,AIADMK → TVK
52,Bargur,MATHIAZHAGAN D,DMK,97256,84642,12614,GEN,North,2021,E.C. GOVINDARASAN,AIADMK,71240,66999,4241,GEN,North,2026,True,DMK → AIADMK
53,Krishnagiri,Ashokkumar.K,AIADMK,96050,95256,794,GEN,North,2021,MUKUNDHAN.P,TVK,89374,70530,18844,GEN,North,2026,True,AIADMK → TVK
54,Veppanahalli,K.P.Munusamy,AIADMK,94104,91050,3054,GEN,North,2021,SRINIVASAN.P.S,DMK,74691,74553,138,GEN,North,2026,True,AIADMK → DMK
55,Hosur,PRAKAASH Y,DMK,118231,105864,12367,GEN,North,2021,BALAKRISHNAREDDY. P,AIADMK,109867,82064,27803,GEN,North,2026,True,DMK → AIADMK
56,Thalli,RAMACHANDRAN.T,CPI,120641,64415,56226,GEN,North,2021,RAMACHANDRAN. T,CPI,78283,73043,5240,GEN,North,2026,False,CPI → CPI
58,Pennagaram,MANI. G.K,PMK,106123,84937,21186,GEN,North,2021,GAJENDRAN. S.,TVK,81240,78075,3165,GEN,North,2026,True,PMK → TVK
59,Dharmapuri,VENKATESHWARAN.S.P.,PMK,105630,78770,26860,GEN,North,2021,SOWMIYA ANBUMANI,PMK,93713,72817,20896,GEN,North,2026,False,PMK → PMK
61,Harur,SAMPATHKUMAR.V,AIADMK,99061,68699,30362,SC,North,2021,SAMPATHKUMAR. V,AIADMK,75523,72194,3329,SC,North,2026,False,AIADMK → AIADMK
62,Chengam,GIRI.M.P,DMK,108081,96511,11570,SC,North,2021,S.VELU,AIADMK,87802,74524,13278,SC,North,2026,True,DMK → AIADMK
63,Tiruvannamalai,E V VELU,DMK,137876,43203,94673,GEN,North,2021,VELU. E.V,DMK,88273,85818,2455,GEN,North,2026,False,DMK → DMK
64,Kilpennathur,K.Pitchandi,DMK,104675,77888,26787,GEN,North,2021,RAMACHANDRAN.S,AIADMK,90503,60038,30465,GEN,North,2026,True,DMK → AIADMK
65,Kalasapakkam,Saravanan.P.S.T,DMK,94134,84912,9222,GEN,North,2021,AGRI KRISHNAMURTHY. S S,AIADMK,89629,62889,26740,GEN,North,2026,True,DMK → AIADMK
66,Polur,Agri KRISHNAMURTHY. S S,AIADMK,97732,88007,9725,GEN,North,2021,ABISHEK. R,TVK,67961,67734,227,GEN,North,2026,True,AIADMK → TVK
67,Arani,S.RAMACHANDRAN,AIADMK,102961,99833,3128,GEN,North,2021,JAYASUDHA. L,AIADMK,76735,71104,5631,GEN,North,2026,False,AIADMK → AIADMK
68,Cheyyar,JOTHI. O,DMK,102460,90189,12271,GEN,North,2021,MUKKUR N. SUBRAMANIAN,AIADMK,86680,65599,21081,GEN,North,2026,True,DMK → AIADMK
69,Vandavasi,Ambethkumar S,DMK,102064,66111,35953,SC,North,2021,AMBETHKUMAR. S,DMK,63805,60472,3333,SC,North,2026,False,DMK → DMK
70,Gingee,MASTHAN K S,DMK,109625,73822,35803,GEN,Central,2021,GANESHKUMAR A,PMK,78201,65556,12645,GEN,Central,2026,True,DMK → PMK
71,Mailam,SIVAKUMAR C,PMK,81044,78814,2230,GEN,Central,2021,SHANMUGAM C VE,AIADMK,82353,52312,30041,GEN,Central,2026,True,PMK → AIADMK
72,Tindivanam,ARJUNAN P,AIADMK,87152,77399,9753,SC,Central,2021,VANNI ARASU,VCK,63833,63099,734,SC,Central,2026,True,AIADMK → VCK
73,Vanur,CHAKRAPANI M,AIADMK,92219,70492,21727,SC,Central,2021,GOWTHAM D,DMK,68873,61839,7034,SC,Central,2026,True,AIADMK → DMK
75,Vikravandi,PUGAZHENTHI N,DMK,93730,84157,9573,GEN,Central,2021,SIVAKUMAR C,PMK,69727,68817,910,GEN,Central,2026,True,DMK → PMK
76,Tirukkoyilur,K.PONMUDY,DMK,110980,51300,59680,GEN,Central,2021,PALANISAMY S,AIADMK,73033,72748,285,GEN,Central,2026,True,DMK → AIADMK
79,Sankarapuram,UDHAYASURIYAN T,DMK,121186,75223,45963,GEN,Central,2021,RAKESH R,AIADMK,80250,76810,3440,GEN,Central,2026,True,DMK → AIADMK
80,Kallakurichi,Senthilkumar.M,AIADMK,110643,84752,25891,SC,Central,2021,ARUL VIGNESH C,TVK,81132,80334,798,SC,Central,2026,True,AIADMK → TVK
81,Gangavalli,"NALLATHAMBI,A.",AIADMK,89568,82207,7361,SC,Central,2021,NALLATHAMBI. A,AIADMK,73167,58763,14404,SC,Central,2026,False,AIADMK → AIADMK
82,Attur,"JAYASANKARAN, A.P.",AIADMK,95308,87051,8257,SC,Central,2021,JAYASANKARAN. A.P.,AIADMK,80843,65525,15318,SC,Central,2026,False,AIADMK → AIADMK
83,Yercaud,G. Chitra,AIADMK,121561,95606,25955,ST,Central,2021,USHARANI. P,AIADMK,87772,85583,2189,ST,Central,2026,False,AIADMK → AIADMK
84,Omalur,R.MANI,AIADMK,142488,87194,55294,GEN,Central,2021,MANI. R,AIADMK,112246,97707,14539,GEN,Central,2026,False,AIADMK → AIADMK
85,Mettur,SADHASIVAM.S,PMK,97055,96399,656,GEN,Central,2021,VENKATACHALAM. G,AIADMK,86498,67393,19105,GEN,Central,2026,True,PMK → AIADMK
87,Sankari,"SUNDARARAJAN, S.",AIADMK,115472,95427,20045,GEN,Central,2021,VETRIVEL. S,AIADMK,87342,77825,9517,GEN,Central,2026,False,AIADMK → AIADMK
88,Salem (West),ARUL. R,PMK,105483,83984,21499,GEN,Central,2021,LAKSHMANAN.S,TVK,120407,45540,74867,GEN,Central,2026,True,PMK → TVK
89,Salem (North),R. RAJENDRAN,DMK,93432,85844,7588,GEN,Central,2021,SIVAKUMAR. K,TVK,85710,71676,14034,GEN,Central,2026,True,DMK → TVK
90,Salem (South),E.BALASUBRAMANIAN,AIADMK,97506,74897,22609,GEN,Central,2021,VIJAY TAMILAN PARTHIBAN. A,TVK,91371,58002,33369,GEN,Central,2026,True,AIADMK → TVK
91,Veerapandi,"RAJAMUTHU, M.",AIADMK,111682,91787,19895,GEN,Central,2021,PALANIVEL. M.S,TVK,79907,75836,4071,GEN,Central,2026,True,AIADMK → TVK
92,Rasipuram,MATHIVENTHAN M,DMK,90727,88775,1952,SC,Central,2021,LOGESH TAMILSELVAN D,TVK,74808,60297,14511,SC,Central,2026,True,DMK → TVK
94,Namakkal,RAMALINGAM P,DMK,106494,78633,27861,GEN,Central,2021,DILIP C S,TVK,79744,68736,11008,GEN,Central,2026,True,DMK → TVK
95,Paramathi-Velur,SEKAR S,AIADMK,86034,78372,7662,GEN,Central,2021,SEKAR S,AIADMK,61349,61041,308,GEN,Central,2026,False,AIADMK → AIADMK
97,Kumarapalayam,THANGAMANI.P,AIADMK,100800,69154,31646,GEN,Central,2021,C.VIJAYALAKSHMI,TVK,81179,73483,7696,GEN,Central,2026,True,AIADMK → TVK
98,Erode (East),"THIRUMAHAN EVERAA,E.",INC,67300,58396,8904,GEN,Kongu,2021,M.VIJAY BALAJI,TVK,69747,45781,23966,GEN,Kongu,2026,True,INC → TVK
99,Erode (West),Muthusamy S,DMK,100757,78668,22089,GEN,Kongu,2021,ANANTH MOGHAN K.K.,TVK,96836,74586,22250,GEN,Kongu,2026,True,DMK → TVK
101,Dharapuram,KAYALVIZHI N,DMK,89986,88593,1393,SC,Kongu,2021,SATHYABAMA.P,AIADMK,81100,64373,16727,SC,Kongu,2026,True,DMK → AIADMK
102,Kangayam,SAMINATHAN.M.P,DMK,94197,86866,7331,GEN,Kongu,2021,NSN NATARAJ,AIADMK,71122,62989,8133,GEN,Kongu,2026,True,DMK → AIADMK
103,Perundurai,"JAYAKUMAR, S.",AIADMK,85125,70618,14507,GEN,Kongu,2021,JAYAKUMAR. S,AIADMK,70302,60609,9693,GEN,Kongu,2026,False,AIADMK → AIADMK
104,Bhavani,KARUPPANAN.K.C,AIADMK,100915,78392,22523,GEN,Kongu,2021,KARUPPANAN. K.C,AIADMK,75577,68181,7396,GEN,Kongu,2026,False,AIADMK → AIADMK
105,Anthiyur,VENKATACHALAM.A.G,DMK,79096,77821,1275,GEN,Kongu,2021,HARIBASKAR.P,AIADMK,60042,58782,1260,GEN,Kongu,2026,True,DMK → AIADMK
106,Gobichettipalayam,SENGOTTAIYAN K.A,AIADMK,108608,80045,28563,GEN,Kongu,2021,SENGOTTAIYAN.K.A,TVK,82612,65992,16620,GEN,Kongu,2026,True,AIADMK → TVK
107,Bhavanisagar,A.Bannari,AIADMK,99181,83173,16008,SC,Kongu,2021,V.P.TAMILSELVI,TVK,72391,67822,4569,SC,Kongu,2026,True,AIADMK → TVK
108,Udhagamandalam,"GANESH, R.",INC,65530,60182,5348,GEN,Kongu,2021,BHOJARAJAN.M,BJP,48488,47512,976,GEN,Kongu,2026,True,INC → BJP
109,Gudalur,PON.JAYASEELAN,AIADMK,64496,62551,1945,SC,Kongu,2021,DHRAVIDAMANI.M,DMK,65590,42757,22833,SC,Kongu,2026,True,AIADMK → DMK
110,Coonoor,"Ramachandran, K.",DMK,61820,57715,4105,GEN,Kongu,2021,M. RAJU,DMK,50470,42371,8099,GEN,Kongu,2026,False,DMK → DMK
112,Avanashi,"DHANAPAL, P",AIADMK,117284,66382,50902,SC,Kongu,2021,KAMALI.S,TVK,84209,68836,15373,SC,Kongu,2026,True,AIADMK → TVK
113,Tiruppur (North),VIJEYAKUMAR.K.N,AIADMK,113384,73282,40102,GEN,Kongu,2021,V.SATHYABAMA,TVK,131401,61409,69992,GEN,Kongu,2026,True,AIADMK → TVK
